,city,region,country,lng,lat,population,continent
6550,San Blas,Nayarit,MX,-105.2856,21.5397,10187,NA
6551,San Blas Atempa,Oaxaca,MX,-95.2167,16.3167,18406,SA
6552,San Buenaventura,Chihuahua,MX,-107.4667,29.8333,6957,NA
6553,San Buenaventura,Coahuila de Zaragoza,MX,-101.5467,27.0625,23413,NA
6554,San Carlos,Cojedes,VE,-68.5833,9.65,120000,SA
6555,San Carlos,Córdoba,CO,-75.6994,8.7944,28597,SA
6556,San Carlos,Río San Juan,NI,-84.7759,11.1894,13451,SA
6557,San Carlos Yautepec,Oaxaca,MX,-96.1,16.5,12101,SA
6558,San Carlos de Bariloche,Río Negro,AR,-71.3,-41.15,112887,NA
6559,San Carlos del Zulia,Zulia,VE,-71.95,9.0,80000,NA
6560,San Cristóbal,Artemisa,CU,-83.0511,22.7169,29119,NA
6561,San Cristóbal,Chiapas,MX,-92.6383,16.7367,158121,NA
6562,San Cristóbal,Santa Fe,AR,-61.2372,-30.3105,14389,SA
6563,San Cristóbal,Táchira,VE,-72.2322,7.7682,285872,SA
6564,San Cristóbal,Valdesia,DO,-70.1333,18.4167,232769,NA
6565,San Cristóbal Acasaguastlán,El Progreso,GT,-89.8722,14.9189,6129,NA
6566,San Cristóbal Amatlán,Oaxaca,MX,-96.4,16.3167,5148,SA
6567,San Cristóbal Cucho,San Marcos,GT,-91.7833,14.9,16158,SA
6568,San Cristóbal Totonicapán,Totonicapán,GT,-91.44,14.9197,42937,NA
6569,San Cristóbal Verapaz,Alta Verapaz,GT,-90.4792,15.365,80613,NA
6570,San Diego,Carabobo,VE,-67.9539,10.2558,187215,SA
6571,San Diego,Zacapa,GT,-89.7833,14.7833,7732,SA
6572,San Diego de Alejandría,Jalisco,MX,-101.9,20.8667,7349,NA
6573,San Diego de la Unión,Guanajuato,MX,-100.8736,21.4656,7946,NA
6574,San Felipe,Guanajuato,MX,-101.2167,21.4833,32831,NA
6575,San Felipe,Retalhuleu,GT,-91.5961,14.6206,17268,NA
6576,San Felipe,Valparaíso,CL,-70.7251,-32.7507,64120,NA
6577,San Felipe,Yaracuy,VE,-68.7458,10.3353,220786,NA
6578,San Fernando,Apure,VE,-67.473,7.894,194274,SA
6579,San Fernando,La Union,PH,120.3167,16.6167,125640,NA
6580,San Fernando,Libertador General Bernardo O’Higgins,CL,-70.9891,-34.5839,58367,NA
6581,San Fernando,Pampanga,PH,120.6833,15.0333,354666,NA
6582,San Fernando,San Fernando,TT,-61.4667,10.2833,55419,NA
6583,San Fernando,Tamaulipas,MX,-98.16,24.8504,29171,NA
6584,San Francisco,Cundinamarca,CO,-74.2892,4.9711,8304,SA
6585,San Francisco,Córdoba,AR,-62.0714,-31.4356,62000,SA
6586,San Francisco,Morazán,SV,-88.1,13.7,21049,SA
6587,San Francisco,Petén,GT,-89.9342,16.8017,47919,AS
6588,San Francisco El Alto,Totonicapán,GT,-91.45,14.95,65521,SA
6589,San Francisco de Macorís,Cibao Nordeste,DO,-70.25,19.3,188118,AS
6590,San Francisco del Norte,Chinandega,NI,-86.7717,13.1992,6758,NA
6591,San Francisco del Rincón,Guanajuato,MX,-101.86,21.0228,71139,NA
